angle,receiverx,time_delay
-70.03088217356546,-16035.326451009289,0.0038894437257332164
-70.03088217356546,-14615.575819988273,-0.009654430153053329
-70.03088217356546,-13334.787128473823,-0.00997773940886913
-70.03088217356546,-12161.812404945887,-0.005875147982788363
-70.03088217356546,-11074.444095836221,0.00023655732562980004
-70.03088217356546,-10056.248874561099,0.0004990775030693528
-70.03088217356546,-9094.684894328622,-0.003059279674614179
-70.03088217356546,-8179.924027017655,0.005386988803676778
-70.03088217356546,-7304.083533942523,0.014086555276408548
-70.03088217356546,-6460.706643257664,-0.0018101577804941296
-70.03088217356546,-5644.400304639972,0.0038053497856675284
-70.03088217356546,-4850.575394016621,-0.006347867250903126
-70.03088217356546,-4075.2554716597033,0.0037314866566507737
-70.03088217356546,-3314.932386176364,0.0022801341594657592
-70.03088217356546,-2566.4543865098526,0.021508705981208198
-70.03088217356546,-1826.9369810618202,-0.008855980875940826
-70.03088217356546,-1093.6896837625404,0.016173030769993373
-70.03088217356546,-364.15364551603017,-0.011105820981794029
-70.03088217356546,364.15364551602863,-0.004722047173791301
-70.03088217356546,1093.689683762539,0.0055171407183777135
-70.03088217356546,1826.9369810618202,0.008978533732697476
-70.03088217356546,2566.4543865098526,-0.011144454822547665
-70.03088217356546,3314.932386176364,0.019225305689535743
-70.03088217356546,4075.255471659702,0.009733933272015154
-70.03088217356546,4850.57539401662,-0.022646990922589295
-70.03088217356546,5644.400304639972,0.007344991012969716
-70.03088217356546,6460.706643257664,0.0011111581601317049
-70.03088217356546,7304.083533942523,-0.00041410762014920796
-70.03088217356546,8179.924027017652,0.008302873233431995
-70.03088217356546,9094.684894328619,-0.0024360813675009343
-70.03088217356546,10056.248874561099,-0.0003674432804212165
-70.03088217356546,11074.444095836221,0.0015117545656841425
-70.03088217356546,12161.812404945887,-0.026737025820138427
-70.03088217356546,13334.78712847382,-0.0019674000305134796
-70.03088217356546,14615.57581998827,0.015163477585323486
-70.03088217356546,16035.326451009285,0.025531730249532356
-70.03088217356546,17639.797753420946,0.031938861475340766
-70.03088217356546,19500.36812385895,0.04436835787216221
-68.77959126383546,-16035.326451009289,0.007881072311538572
-68.77959126383546,-14615.575819988273,0.009011045624126378
-68.77959126383546,-13334.787128473823,0.00378860760059566
-68.77959126383546,-12161.812404945887,0.011047417222260391
-68.77959126383546,-11074.444095836221,-0.004231851355649275
-68.77959126383546,-10056.248874561099,-0.0032702487996314165
-68.77959126383546,-9094.684894328622,-0.0007953474307379573
-68.77959126383546,-8179.924027017655,-0.0045086870209701925
-68.77959126383546,-7304.083533942523,0.0034806609609107876
-68.77959126383546,-6460.706643257664,-0.016329118223672286
-68.77959126383546,-5644.400304639972,-0.005973797144001342
-68.77959126383546,-4850.575394016621,-0.007397851558302469
-68.77959126383546,-4075.2554716597033,-0.0030233160880582203
-68.77959126383546,-3314.932386176364,0.002894845075843513
-68.77959126383546,-2566.4543865098526,-0.005608688324238111
-68.77959126383546,-1826.9369810618202,0.01051813791819213
-68.77959126383546,-1093.6896837625404,-0.0018665857536118422
-68.77959126383546,-364.15364551603017,0.005017292415971639
-68.77959126383546,364.15364551602863,-0.010713653040431604
-68.77959126383546,1093.689683762539,-0.0015930596328338606
-68.77959126383546,1826.9369810618202,-0.022232216143115286
-68.77959126383546,2566.4543865098526,0.004138265373178443
-68.77959126383546,3314.932386176364,-0.004354948604183329
-68.77959126383546,4075.255471659702,0.006344233656918991
-68.77959126383546,4850.57539401662,-0.004800642348776947
-68.77959126383546,5644.400304639972,0.005820682351373725
-68.77959126383546,6460.706643257664,0.00360826472814423
-68.77959126383546,7304.083533942523,-0.0039799261000077945
-68.77959126383546,8179.924027017652,0.005257485157555524
-68.77959126383546,9094.684894328619,0.014077016351671585
-68.77959126383546,10056.248874561099,0.008832172616181955
-68.77959126383546,11074.444095836221,0.01427377675884396
-68.77959126383546,12161.812404945887,-0.02026140212195095
-68.77959126383546,13334.78712847382,0.02700642726779549
-68.77959126383546,14615.57581998827,0.04480511423629597
-68.77959126383546,16035.326451009285,0.02708963564088681
-68.77959126383546,17639.797753420946,0.01318050266205278
-68.77959126383546,19500.36812385895,0.04603808341310858
